title_en,title_am,similarity_score,alternative_position,reason
Junior Cost & Budget Accountant,የጁኒየር ወጭ እና የበጀት አካውንታንት,0.0,Junior Cost Accountant,Combines cost and budget accounting into standard cost accounting.
Junior Customer Accounts and Due Diligence Officer,ጁኒየር የደንበኛ መለያዎች እና ተገቢ ትጋት ኦፊሰር,0.0,Junior Customer Due Diligence Officer,Focus on customer due diligence as part of accounts role.
Junior Customer Relation Officers/External,ጁኒየር የደንበኞች ግንኙነት ኦፊሰሮች/ውጫዊ,0.0,Junior Customer Relations Officer,External customer relations is a core Customer Relations role.
Junior Data Encoder,ጁኒየር ዳታ ኢንኮደር,0.0,Junior Data Entry Clerk,Data encoder is synonymous with data entry.
Junior direct/showroom sales,ጁኒየር ቀጥታ/ማሳያ ክፍል ሽያጭ,0.0,Junior Showroom Sales Representative,Direct/showroom sales is best captured by showroom sales role.
Junior Fast Food Chief,ጁኒየር ፈጣን ምግብ አለቃ,0.0,Junior Fast Food Chef,Chief in fast food context means chef.
Junior tv program host,የጁኒየር ቲቪ ፕሮግራም አስተናጋጅ,0.0,Junior TV Host,TV program host is a TV host role.
Junior flutter developer,ጁኒየር ፍሉተር ገንቢ,0.0,Junior Flutter Developer,Standard title for junior Flutter developer.
Junior Foreman,ጁኒየር ፎርማን,0.0,Junior Site Supervisor,Foreman typically supervises site work in construction; standardized as junior supervisor role.
Junior Grant Office / Data Management & Reporting /,የጁኒየር ግራንት ቢሮ / የውሂብ አስተዳደር እና ሪፖርት ማድረግ /,0.0,Junior Grant Officer,Primary focus is grant management; data/reporting is a supporting function.
Junior IE,ጁኒየር IE,0.0,Junior Industrial Engineer,IE commonly stands for Industrial Engineer in Ethiopian job context.
Junior Interview Questioner Creator,ጁኒየር ቃለ መጠይቅ ጠያቂ ፈጣሪ,0.0,Junior Questionnaire Designer,Role focuses on creating interview questions; standardized as questionnaire design.
Junior IT,ጁኒየር አይቲ,0.0,Junior IT Support Technician,General IT junior role typically involves technical support.
Junior Laravel Developer,ጁኒየር ላራቭል ገንቢ,0.0,Junior Backend Developer,Laravel is a backend framework; standardized as backend development role.
Junior Liaison and Transit Officer,የጁኒየር ግንኙነት እና ትራንዚት ኦፊሰር,0.0,Junior Liaison Officer,Core function is liaison; transit is an additional duty.
Junior Liason Office,ጁኒየር ግንኙነት ቢሮ,0.0,Junior Liaison Officer,Corrected typo from 'Liason' to Liaison; same standardized role.
Junior Logistic Officer Trainee,ጁኒየር የሎጂስቲክስ ኦፊሰር ሰልጣኝ,0.0,Junior Logistics Officer,Trainee implies entry-level; standardized as junior logistics officer.
Juniormodels,ጁኒየር ሞዴሎች,0.0,Junior Model,Shortened form of 'Junior Models'; refers to fashion or promotional modeling.
Junior Operation and Client Care Expert,የጁኒየር ኦፕሬሽን እና የደንበኛ እንክብካቤ ባለሙያ,0.0,Junior Operations Officer,Combines operations and client care into a standard operations role.
Junior outdoor sales,ጁኒየር የውጪ ሽያጭ,0.0,Junior Sales Representative,"Outdoor sales is a type of field sales, commonly standardized as sales representative."
Junior People Operation Liaison,የጁኒየር ሰዎች ኦፕሬሽን ግንኙነት,0.0,Junior Human Resources Coordinator,People Operations Liaison maps to HR coordination responsibilities.
Junior Real Estate Field Sales,ጁኒየር ሪል እስቴት የመስክ ሽያጭ,0.0,Junior Real Estate Agent,Field sales in real estate is typically titled real estate agent.
Junior Reward & Employee Services Officer,የጁኒየር ሽልማት እና የሰራተኛ አገልግሎት ኦፊሰር,0.0,Junior Compensation and Benefits Officer,Reward & Employee Services directly corresponds to compensation and benefits.
Junior Springboot Developer,ICT,0.0,Junior Java Developer,"Spring Boot is a Java framework, thus standardized as Java developer."
Junior Store Custodian,ጁኒየር መደብር ጠባቂ,0.0,Junior Storekeeper,Store custodian is equivalent to storekeeper in Ethiopian job market.
Junior Street Videographers,ጁኒየር የመንገድ ቪዲዮ አንሺዎች,0.0,Junior Videographer,Street videographers are a subset of videographers; standard title is videographer.
Junior Surveillance,ጁኒየር ክትትል,0.0,Junior Security Officer,Surveillance roles are commonly categorized under security officer.
Junior Tax Calculater,ጁኒየር ታክስ ማስያ,0.0,Junior Tax Accountant,Tax calculater role is a junior tax accounting position.
Junior Teacher for Affan Oromo,ጀማሪ መምህር ለአፋን ኦሮሞ,0.0,Junior Teacher,Standardized from 'Junior Teacher for Affan Oromo' to general subject teacher at junior level.
Junior Telemarketing,ጁኒየር ቴሌማርኬቲንግ,0.0,Junior Telemarketing Agent,Direct mapping to standard telemarketing role with junior level.
Junior Tender Officer,ጀማሪ የጨረታ ኦፊሰር,0.0,Junior Tender Officer,"Common title in Ethiopian procurement, shortened to junior tender officer."
Junior TV program host,ጁኒየር የቲቪ ፕሮግራም አስተናጋጅ,0.0,Junior TV Presenter,"Standardized from TV program host to presenter, junior level."
Junior UI/UX intern,ጁኒየር UI/UX ተለማማጅ,0.0,UI/UX Intern,"Internship position, standardized to UI/UX intern."
Junior Underwriter Trainee,ጁኒየር ደራሲ ሰልጣኝ,0.0,Underwriter Trainee,"Trainee level underwriting role, common in Ethiopian insurance."
Junior utility Mechanic,የጁኒየር መገልገያ መካኒክ,0.0,Junior Utility Mechanic,Direct mapping for mechanic working on utility equipment.
Junior VFX Compositor,ጁኒየር ቪኤፍኤክስ አቀናባሪ,0.0,Junior VFX Compositor,Direct mapping for visual effects compositor at junior level.
Junor Carpentry,ጁንየር አናጢነት,0.0,Junior Carpenter,"Corrected spelling from 'Junor' to Junior, and standardized to carpenter."
Kefeta Project Disability Mainstreaming Officer - KpDMO,የቀፈታ ፕሮጀክት አካል ጉዳተኝነት ዋና ዳይሬክተር,0.0,Disability Mainstreaming Officer,Removed project-specific 'Kefeta' and 'KpDMO' to standard role.
Kembategna and Sidamenga Translators,የከምባቴኛ እና የሲዳሜንጋ ተርጓሚዎች,0.0,Translator,"Standardized role for language translation, specific to Kembategna and Sidamenga languages."
Keyboard and guitar trainer,የቁልፍ ሰሌዳ እና ጊታር አሰልጣኝ,0.0,Music Instructor,"Teaches both keyboard and guitar, generalized to music instruction."
Keyboardist,የቁልፍ ሰሌዳ ባለሙያ,0.0,Keyboardist,Already a standard musical position title.
keyboardist and bassist,ኪቦርድ ባለሙያ እና ባሲስት,0.0,Musician,Covers multiple instrument roles (keyboard and bass).
Kg – Assistant,ኪ.ግ - ረዳት,0.0,Kindergarten Assistant,Kg is common abbreviation for Kindergarten in Ethiopian context.
Kg Director,ኪ.ግ ዳይሬክተር,0.0,Kindergarten Director,Standard title for head of a kindergarten.
Kid models,የልጆች ሞዴሎች,0.0,Child Model,Standard term for modeling by children.
Kids actors,የልጆች ተዋናዮች,0.0,Child Actor,Standard term for acting by children.
Kids Transportation Assistance,የልጆች መጓጓዣ እርዳታ,0.0,Transportation Assistant,Focus on assisting with transportation for kids.
Kitchen & CDP,ወጥ ቤት እና ሲዲፒ,0.0,Chef de Partie,CDP is industry-standard abbreviation for Chef de Partie in kitchen hierarchy.
Knowledge Sharing Platform (KSP)Assistant,የእውቀት መጋሪያ መድረክ ረዳት,0.0,Knowledge Management Officer,"Responsible for managing knowledge sharing platforms, aligned with knowledge management roles."
Kunama Speaker/Translator,የኩናማ ተናጋሪ/ተርጓሚ,0.0,Translator,"Translates Kunama language, generalizable to translator position."
L & D Specialist,L & D ስፔሻሊስት,0.0,Learning and Development Specialist,L&D is standard abbreviation for Learning and Development.
Label and sticker designer,መለያ እና ተለጣፊ ንድፍ አውጪ,0.0,Graphic Designer,Design of labels and stickers falls under graphic design responsibilities.
Laison Officer,የግንኙነት መኮንን,0.0,Liaison Officer,Corrects spelling to standard job title for liaison duties.
Layout design,የአቀማመጥ ንድፍ,0.0,Layout Designer,Focus on page or product layout aligns with layout design role.
Lazer cutter ( plexi glass),ላዘር መቁረጫ,0.0,Laser Cutting Machine Operator,"Operates laser cutter for plexiglass, typical machine operator title."
Lead Coder,መሪ ኮደር,0.0,Lead Developer,"Lead Coder implies senior coding lead, commonly termed Lead Developer."
Lead Compliance Management,የእርሳስ ተገዢነት አስተዳደር,0.0,Compliance Manager,Lead Compliance Management role corresponds to managing compliance functions.
Lead Generation specialist,መሪ ትውልድ ስፔሻሊስት,0.0,Lead Generation Specialist,"Direct match, standard title for generating sales leads."
Lead Generator,መሪ ጀነሬተር,0.0,Sales Representative,Lead generation is a core sales function.
Lead of Advocacy,የጥብቅና አመራር,0.0,Advocacy Manager,Lead of Advocacy indicates a senior role overseeing advocacy efforts.
"Lead, CASCADE",መሪ,0.0,Program Manager,"CASCADE likely refers to a project or program, and Lead indicates program leadership."
"Lead, Relationship Manager","መሪ, ግንኙነት አስተዳዳሪ",0.0,Senior Relationship Manager,"Lead, Relationship Manager implies a senior role managing client relationships."
Learning Management Solution Development,የመማር አስተዳደር መፍትሔ ልማት,0.0,Instructional Designer,Learning Management Solution Development focuses on creating learning content and systems.
Learning Management System (LMS) Specialist,የመማሪያ አስተዳደር ስርዓት ስፔሻሊስት,0.0,LMS Specialist,Direct equivalent with the same focus on Learning Management Systems.
"LEARNING, DESIGN AND MEASURMENT (LDM) MANAGER",የመማር፣ የንድፍ እና የመለኪያ አስተዳዳሪ,0.0,Learning and Development Manager,"LDM Manager encompasses learning design and measurement, aligning with L&D management."
"Learning, Monitoring and Evaluation (LME) Advisor",የመማር፣ ክትትል እና ግምገማ አማካሪ,0.0,Monitoring and Evaluation Advisor,"LME Advisor combines learning with monitoring and evaluation, typically an M&E role."
LED Display advert Writer,ማሳያ ማስታወቂያ ጸሐፊ,0.0,Copywriter,Writing adverts for LED displays is a copywriting task.
Led light installer,የ LED መብራት ጫኝ,0.0,Electrician,Installing LED lights is an electrical installation job.
Letter Header Design,የደብዳቤ ራስጌ ንድፍ,0.0,Graphic Designer,Designing letterheads is a core graphic design task.
Light and curtain sales,የብርሃን እና መጋረጃ ሽያጭ,0.0,Sales Associate,Retail sales role for lighting and curtain products.
Line leader,የመስመር መሪ,0.0,Production Supervisor,Oversees assembly or production line activities.
Linear Algebra Tutor,የመስመር አልጀብራ አስጠኚ,0.0,Mathematics Tutor,"Specialized tutoring in linear algebra, a branch of mathematics."
Linkage and Retention Assistant,ትስስር እና ማቆየት ረዳት,0.0,Program Assistant,Supports linkage and retention activities in social or community programs.
LinkedIn Account Manager and Storyteller,የLinkedIn መለያ አስተዳዳሪ እና ታሪክ ጸሐፊ,0.0,Social Media Manager,Manages LinkedIn accounts and crafts narrative content.
Lip reading transcription,የከንፈር ንባብ ግልባጭ,0.0,Transcriptionist,Converts spoken language to text via lip reading.
LISEC intern,LISEC ተለማማጅ,0.0,Intern,"General intern position, likely in a specific organization or field."
Listing and Reporting Manager,ዝርዝር እና ሪፖርት ማድረግ አስተዳዳሪ,0.0,Reporting Manager,Oversees the creation and management of listings and reports.
Live Editor,የቀጥታ አርታዒ,0.0,Video Editor,Edits live video content for broadcasts or streaming.
Live support assistant,የቀጥታ ድጋፍ ረዳት,0.0,Livelihood Assistant,"Likely a typo for 'Livelihood Support Assistant', mapped to standard assistant role."
Livelihood and Ecotourism Officer (LEO),የኑሮ እና ኢኮቱሪዝም ኦፊሰር,0.0,Livelihood Officer,Ecotourism is a specialization within livelihoods; standard title is Livelihood Officer.
Livelihood and Food Security Assistant (Food Distribution),የኑሮ እና የምግብ ዋስትና ረዳት (የምግብ ስርጭት),0.0,Food Security Assistant,Focus on food distribution aligns with Food Security Assistant role.
Livelihood Assistant,የኑሮ ረዳት,0.0,Livelihood Assistant,Exact match to standard title.
Livelihood Specialist,የኑሮ ልዩ ባለሙያ,0.0,Livelihood Specialist,Exact match to standard title.
Livelihood Team Lead,የኑሮ ደረጃ ቡድን መሪ,0.0,Livelihood Team Leader,Team lead role mapped to standard team leader title.
"LIVELIHOOD, FOOD SYSTEMS AND CLIMATE CHANGE COORDINATOR",የኑሮ፣ የምግብ ሥርዓት እና የአየር ንብረት ለውጥ አስተባባሪ,0.0,"Program Coordinator (Livelihoods, Food Systems, Climate Change)",Coordinator role spanning multiple thematic areas; best fit is Program Coordinator.
Livelihoods & Cash Specialist,መተዳደሪያ እና የገንዘብ ስፔሻሊስት,0.0,Cash and Livelihoods Specialist,Combined cash and livelihoods specialization.
Livelihoods and Cash Specialist Ethiopia,መተዳደሪያ እና ጥሬ ገንዘብ ስፔሻሊስት ኢትዮጵያ,0.0,Cash and Livelihoods Specialist,"Same as above, location suffix removed."
Livelihoods and Financial Inclusions Coordinator,መተዳደሪያ እና የፋይናንስ ማካተት አስተባባሪ,0.0,Financial Inclusion Coordinator,"Financial inclusion is the main focus, within livelihoods context."
LME Director,ዳይሬክተር,0.0,Logistics Director,LME likely stands for Logistics and Materials Engineering; director role translates to overseeing logistics operations.
LME Officer,የኤልኤምኢ ኦፊሰር,0.0,Logistics Officer,LME Officer is a junior position in logistics and materials management.
LMIS (Logistics Management Information System) Officer (Re-advertisement),የሎጂስቲክስ አስተዳደር መረጃ ስርዓት ኦፊሰር (እንደገና ማስታወቂያ),0.0,Logistics Information Systems Officer,LMIS focuses on logistics management information systems; alternative reflects system oversight.
LMS Course Designer and Teacher,የኤልኤምኤስ ኮርስ ዲዛይነር እና መምህር,0.0,Instructional Designer and Trainer,LMS Course Designer and Teacher involves designing e-learning courses and instructing.
LMS Developer,የኤልኤምኤስ ገንቢ,0.0,E-Learning System Developer,LMS Developer builds and maintains learning management systems.
Loader,ጫኚ,0.0,Warehouse Loader,Loader is a common entry-level role for loading goods in warehouses.
Loading and Unloading Worker,የመጫኛ እና የማውረድ ሰራተኛ,0.0,Material Handler,Loading and unloading worker is a general material handling role.
Loan (Lease Financing) Consultant,ብድር (የሊዝ ፋይናንስ) አማካሪ,0.0,Lease Financing Consultant,Consultant specializing in lease financing loans; alternative keeps the specialization.
Loan Section Head I,የብድር ክፍል ኃላፊ I,0.0,Credit Section Head I,Loan Section Head I is the first level managing a loan/credit section.
Loan Section Head II,የብድር ክፍል ኃላፊ II,0.0,Senior Credit Section Head,"Loan Section Head II is a higher level than I, indicating seniority."
Local Money Transfer Management Division Manager,የአካባቢ ገንዘብ ማስተላለፍ አስተዳደር ክፍል አስተዳዳሪ,0.0,Money Transfer Operations Manager,Standardized management role for remittance services
Local Purchase Division Head,የአካባቢ ግዢ ክፍል ኃላፊ,0.0,Procurement Division Head,Local purchase is equivalent to procurement
Local Systems and Capacity Building Officer,የአካባቢ ስርዓቶች እና የአቅም ግንባታ ኦፊሰር,0.0,Systems and Capacity Building Officer,Removed unnecessary 'Local' modifier
Logistic & Fleet Manager,የሎጂስቲክስ እና ፍሊት አስተዳዳሪ,0.0,Logistics and Fleet Manager,Standard title for combined logistics and fleet management
Long term illustration services,የረጅም ጊዜ የማሳያ አገልግሎቶች,0.0,Illustration Services Specialist,Role providing long-term illustration services
dedicated orthodox Ge’ez scriptures advisor,የኦርቶዶክስ ግእዝ ቅዱሳት መጻሕፍት አማካሪ,0.0,Ge'ez Scriptures Advisor,Standard title for religious scripture advisory role
Retoucher,መልሶ ማግኛ,0.0,Photo Retoucher,Standardized retouching role
Transitor,ትራንዚስተር,0.0,Transport Coordinator,Likely a role coordinating transit operations
Technical Support Engineers for Microsoft Office 365!,ለማክሮሶፍት ኦፊስ 365 የቴክኒክ ድጋፍ መሐንዲሶች,0.0,Microsoft 365 Technical Support Engineer,Standardized title with correct product name and removed punctuation
Loop animation,ሉፕ እነማ,0.0,Motion Graphics Animator (Loop),Common title for creating looping animations
Lumion Expert,Lumion ኤክስፐርት,0.0,3D Visualization Specialist,"Lumion is a 3D rendering software; the role involves creating visualizations, commonly known as 3D Visualization Specialist."
Luxury Real Estate Sales,የቅንጦት ሪል እስቴት ሽያጭ,0.0,Real Estate Sales Agent,Luxury real estate sales is a specialization of real estate sales; the standard title is Real Estate Sales Agent.
LVIA Head of Programs,LVIA የፕሮግራሞች ኃላፊ,0.0,Program Director,"LVIA is an organization, and Head of Programs is equivalent to Program Director in the Ethiopian NGO sector."
M and E Coordinator,ኤም እና ኢ አስተባባሪ,0.0,Monitoring and Evaluation Coordinator,M and E is a standard abbreviation for Monitoring and Evaluation; the full title is commonly used.
Macroeconomist,ማክሮ ኢኮኖሚስት,0.0,Economist,Macroeconomist is a subfield; the standard job title in Ethiopia is Economist.
Magician / Trick Maker,አስማተኛ / ተንኮል ሰሪ,0.0,Entertainer,Magician/Trick Maker is a performance role; the general standardized title is Entertainer in the local context.
Audiobook Narrator,ኦዲዮ መጽሐፍ ተራኪ,0.0,Voice Actor,Audiobook Narrator is a type of voice acting; Voice Actor is the broader standard title.
"Makeup, Eyelash, and Nail Art Teacher",ሜካፕ፣ የዓይን ሽፋሽፍት እና የጥፍር ጥበብ መምህር,0.0,Beauty Instructor,"Teaching makeup, eyelash, and nail art falls under beauty instruction; standard title is Beauty Instructor or Cosmetology Instructor."
Making video skits,የቪዲዮ ስኪቶችን መስራት,0.0,Content Creator,Making video skits is a content creation activity; the standard title is Content Creator.
Malaria Expert,የወባ ባለሙያ,0.0,Public Health Specialist,Malaria Expert is a specialized public health role; the standard title in Ethiopia is Public Health Specialist focusing on malaria.
Afaan oromo voice over,የአፋን ኦሮሞ ድምፅ በላይ,0.0,Voice Over Artist,Standard role for voice over work; language specialization is noted but role remains the same.
"Manager, International Remittance & SWIFT Operation Division",ሥራ አስኪያጅ፣ ዓለም አቀፍ የገንዘብ ማስተላለፍ እና ስዊፍት ኦፕሬሽን ክፍል,0.0,Remittance Operations Manager,Focus on international remittance and SWIFT operations aligns with remittance management.
"Manager, Performance & Succession Planning Division",ሥራ አስኪያጅ፣ አፈጻጸም እና ተተኪ ዕቅድ ክፍል,0.0,Performance Management Manager,Performance and succession planning are core HR functions commonly under performance management.
"Manager, Recruitment & Onboarding Division",ሥራ አስኪያጅ፣ ምልመላ እና ተሳፍሪ ክፍል,0.0,Recruitment Manager,"Recruitment and onboarding are part of talent acquisition, but title is simplified to Recruitment Manager."
"Manager, RTM(Route to Market)",አስተዳዳሪ፣ አርቲኤም(የገበያ መንገድ),0.0,Route to Market Manager,RTM is a standard business term for distribution strategy.
"Manager, Talent Program Execution","አስተዳዳሪ, የተሰጥኦ ፕሮግራም አፈጻጸም",0.0,Talent Program Manager,Execution of talent programs is the key responsibility.
"Manager, Tax and Statutory Payments",አስተዳዳሪ፣ ታክስ እና ህጋዊ ክፍያዎች,0.0,Tax Manager,Tax and statutory payments fall under tax management.
Market insight and Event organizer,የገበያ ግንዛቤ እና የክስተት አደራጅ,0.0,Market Research & Event Coordinator,Combines market insight and event organization into a common role.
Market System Development (MSD) Coordinator,የገበያ ስርዓት ልማት (ኤምኤስዲ) አስተባባሪ,0.0,MSD Coordinator,Market System Development is a common term; coordinator role is standard.
Market-Based Sanitation Financing (Economic strengthening) Advisor,በገበያ ላይ የተመሰረተ የንፅህና አጠባበቅ ፋይናንስ (ኢኮኖሚያዊ ማጠናከሪያ) አማካሪ,0.0,Sanitation Financing Advisor,Focus on market-based sanitation financing and economic strengthening.
Marketing and Crew for Racing Team,ማርኬቲንግ እና ሠራተኞች ለውድድር ቡድን,0.0,Marketing Coordinator,Marketing and crew role suggests coordination of marketing activities and team support.
MARKETING AND PUBLIC RELATION (PR),ግብይት እና የህዝብ ግንኙነት,0.0,Public Relations Officer,"Directly maps to marketing and PR functions, standard title in Ethiopian organizations."
Marketing and Socail Media Associate,ማርኬቲንግ እና ሶኬል ሚዲያ ተባባሪ,0.0,Social Media Associate,Corrects typo and standardizes the role for social media management.
Marketing and Social Media Experts,የግብይት እና የማህበራዊ ሚዲያ ባለሙያዎች,0.0,Social Media Specialist,"Expert-level social media role, commonly titled as specialist."
Masinko Player,ማሲንኮ ተጫዋች,0.0,Traditional Musician (Masinko Player),"Masinko is a traditional Ethiopian instrument, standardized as a musician role."
Masinko Teacher,ማሲንኮ መምህር,0.0,Traditional Music Teacher (Masinko),"Teaching the masinko instrument, mapped to traditional music education."
Mason,ሜሶን,0.0,Mason,Already a standard construction job title in Ethiopia.
Masters program MBA assignment Coach,ማስተርስ ፕሮግራም ምደባ አሰልጣኝ,0.0,Academic Coach (MBA),Coaching for MBA assignments fits academic coaching with specialization.
Masters scholarship/admission manager,የማስተርስ ስኮላርሺፕ / የመግቢያ ሥራ አስኪያጅ,0.0,Admissions and Scholarship Manager,Combines admission and scholarship management into a standard administrative role.
"Material Planning, Ordering & Follow Up Officer",የቁሳቁስ ማቀድ፣ ማዘዝ እና ክትትል ኦፊሰር,0.0,Material Planning and Procurement Officer,"Involves planning, ordering, and follow-up, typical in supply chain and procurement."
Material Production Foreman,የቁሳቁስ ምርት ፎርማን,0.0,Production Supervisor,Foreman is equivalent to supervisor in manufacturing context.
Materials Management Division Head,የቁሳቁስ አስተዳደር ክፍል ኃላፊ,0.0,Materials Manager,Head of materials management division typically managed by a materials manager.
Maternity Cover Senior Accountant,የወሊድ ሽፋን ከፍተኛ የሂሳብ ባለሙያ,0.0,Senior Accountant,"Maternity cover indicates temporary role, but the position is senior accountant."
Matlab Expert,ማትላብ ኤክስፐርት,0.0,Data Analyst,Matlab expertise is commonly used in data analysis and modeling.
Matlab UI Developer,ማትላብUI ገንቢ,0.0,Frontend Developer,UI development in Matlab corresponds to standard frontend developer role.
MaYEA Program Cluster Apiculture Development Officer,ፕሮግራም ክላስተር የንብ ማነብ ልማት ኦፊሰር,0.0,Agricultural Development Officer,"Apiculture is a branch of agriculture, hence standard agricultural officer role."
"MaYEA Program Sub-national hub Gender, Youth and Safeguarding Lead",የ MYEA ፕሮግራም ንዑስ ሀገር የሥርዓተ-ፆታ፣ የወጣቶች እና የጥበቃ አመራር,0.0,Gender and Development Officer,"Role focuses on gender, youth, and safeguarding within program hub."
MaYEA Sub National Hub Program Director,የMaYEA ንዑስ ብሔራዊ መገናኛ ፕሮግራም ዳይሬክተር,0.0,Program Director,Sub-national hub program director is equivalent to standard program director.
MC (Host),ኤምሲ (አስተናጋጅ),0.0,Event Host,MC (Master of Ceremonies) is commonly referred to as event host.
MCH Head,MCH ኃላፊ,0.0,MCH Program Manager,Head of Maternal and Child Health (MCH) is typically a program manager.
MD (Merchandizing Officer),ኤምዲ (የሸቀጣሸቀጥ ኦፊሰር),0.0,Merchandiser,"MD stands for Merchandizing Officer, common in retail and trade roles."
MDR TB Tracker Support,MDR ቲቢ መከታተያ ድጋፍ,0.0,Health Data Entry Clerk,"MDR TB Tracker Support involves tracking patient data, similar to a health data entry role."
MEAL – Hotline Assistants,MEAL - የቀጥታ መስመር ረዳቶች,0.0,MEAL Assistant,MEAL Hotline Assistants support monitoring and evaluation tasks via a hotline.
MEAL and PSI Officer,MEAL እና PSI ኦፊሰር,0.0,MEAL Officer,"MEAL and PSI Officer primarily focuses on monitoring, evaluation, accountability, and learning."
MEAN Stack + VueJs Developer,MEAN ቁልል + VueJs ገንቢ,0.0,Full Stack Developer,"MEAN stack + VueJs development requires both frontend and backend skills, typical of full stack roles."
MEAN stack developer,MEAN ቁልል ገንቢ,0.0,Full Stack Developer (MEAN),MEAN stack developer is a standard full stack developer specialization.
Mechanical Ventilator Operator,ሜካኒካል የአየር ማናፈሻ ኦፕሬተር,0.0,Medical Equipment Technician,Operating mechanical ventilators is a technical role in medical equipment management.
Media Monitor consultant,የሚዲያ ክትትል አማካሪ,0.0,Media Analyst,"Media Monitor consultant analyzes media content, fitting the media analyst role."
Media speaker on psychological and psychiatry,በሳይኮሎጂ እና በስነ-አእምሮ ላይ የሚዲያ ተናጋሪ,0.0,Mental Health Educator,Media speaker on psychological and psychiatric topics educates the public about mental health.
"Media, Communication, and Outreach Senior Expert",የሚዲያ፣ ኮሙኒኬሽን እና ተደራሽነት ከፍተኛ ባለሙያ,0.0,Senior Communications Officer,"Oversees media, communication, and outreach strategies at a senior level."
Medical Project Lead,የሕክምና ፕሮጀክት መሪ,0.0,Health Program Manager,"Leads medical projects, akin to program management in health sector."
Medical Show Host,የሕክምና ማሳያ አስተናጋጅ,0.0,Health Communication Specialist,Hosting a medical show involves communicating health information.
Medicinal Products Registration Expert,የመድኃኒት ምርቶች ምዝገባ ባለሙያ,0.0,Regulatory Affairs Specialist,Expert in registration of medicinal products requires regulatory knowledge.
MEL Coordinator,የMEL አስተባባሪ,0.0,Monitoring and Evaluation Officer,MEL Coordinator is a standard M&E role at coordination level.
MEL Manager - Highland Resilience Activity,MEL አስተዳዳሪ - ሃይላንድ የመቋቋም እንቅስቃሴ,0.0,MEL Manager,"Manager for Monitoring, Evaluation, and Learning activities."
MEL-MIS Advisor,የMEL-MIS አማካሪ,0.0,MEL Advisor,Advisor combining MEL and MIS functions.
Meme Creator Job,Meme ፈጣሪ ኢዮብ,0.0,Social Media Content Creator,Creating memes is a form of digital content creation for social media.
Menagesha Rehabilitation Center (MRC) Manager,መናገሻ ማገገሚያ ማዕከል ሥራ አስኪያጅ,0.0,Rehabilitation Center Manager,"Manages a rehabilitation center, directly equivalent."
Meraf Internet Café Customer Representative,የሜራፍ ኢንተርኔት ካፌ የደንበኛ ተወካይ,0.0,Customer Service Representative,Handles customer inquiries at an internet café.
MERL Coordinator - SUN WASH Project,የMERL አስተባባሪ - የፀሐይ ማጠቢያ ፕሮጀክት,0.0,MERL Coordinator,"Coordinates Monitoring, Evaluation, Research, and Learning for SUN WASH project."
MERN Developer,MERN ገንቢ,0.0,Full Stack Developer,MERN is a web development stack; common standardized title in Ethiopia.
Mern stack developer,Mern ቁልል ገንቢ,0.0,Full Stack Developer,Same as MERN Developer; standardized to Full Stack Developer.
Method Officer L1,ዘዴ ኦፊሰር L1,0.0,Methodology Officer,Method Officer L1 likely refers to a methodology role; standardized to Methodology Officer.
