title_en,title_am,similarity_score,alternative_position,reason
share sales and monitoring specialist,,0,Sales Analyst,Share sales and monitoring specialist is a sales analyst role focusing on shares.
Field reporter,,0,Journalist,Field reporter is a journalist reporting from the field.
Film mounting and printing services,,0,Print Production Specialist,Film mounting and printing services is a print production specialist role.
Game Zone Pool Player,,0,Recreation Attendant,"Game Zone Pool Player is a role in a recreational facility, similar to a Recreation Attendant."
Grind salt,,0,Laborer,"Grinding salt is a manual labor task, fitting the general Laborer category."
Handicraft (Lace Craftsman),,0,Handicraft Artisan,Lace Craftsman is a specific type of handicraft artisan.
Has a hacker and an embroidery singer,,0,Textile Machine Operator,"Hacker and embroidery singer refer to textile machines, so the role is a Textile Machine Operator."
Ice cream expert,,0,Food Production Specialist,Ice cream expert is a specialized role in food production.
"In case of two-wheeler (motorcycle) executor, consignee and consignee and proper preparation of documents.",,0,Logistics Coordinator,"The description involves motorcycle logistics, document preparation, and consignment, typical of a Logistics Coordinator."
Interviewer,,0,Interviewer,The title is already standard and clear.
Job opportunities for event planning and sales professionals,,0,Event Sales Coordinator,"Combines event planning and sales, best mapped to Event Sales Coordinator."
Loader and unloader,,0,Warehouse Worker,Loader and unloader is a common warehouse role.
Made of steel,,0,Metal Fabricator,"Made of steel implies working with steel, fitting a Metal Fabricator."
"Magazine, Binder and Photo Shooter",,0,Photographer,"Magazine, Binder and Photo Shooter is a creative role focused on capturing images, closely matching Photographer."
Making milkshakes,,0,Barista,Making milkshakes is a typical task for a Barista in Ethiopian cafes.
Messenger and executor,,0,Office Messenger,"Messenger and executor implies delivering items and running errands, similar to an Office Messenger."
Network expansion,,0,Business Development Officer,"Network expansion involves growing a company's reach, a key function of a Business Development Officer."
Oromo language audio recording,,0,Audio Transcriber,"Oromo language audio recording is a transcription task, fitting an Audio Transcriber role."
Oromo teacher,,0,Language Teacher,"Oromo teacher directly instructs in the Oromo language, aligning with Language Teacher."
Oromo to Amharic translator,,0,Translator,"Oromo to Amharic translator is a specific translation role, matching Translator."
Personality building and motivational speaker,,0,Motivational Speaker,"Personality building and motivational speaker focuses on inspiring others, equivalent to Motivational Speaker."
Pool House Revenue Officer,,0,Revenue Officer,"Pool House Revenue Officer manages revenue at a pool facility, similar to a Revenue Officer."
Preparation of career proposals,,0,Career Counselor,"Preparation of career proposals involves advising on career paths, akin to a Career Counselor."
Producer of a religious YouTube channel,,0,Content Creator,"Produces religious content for YouTube, similar to content creation roles."
Protection,,0,Security Officer,Protection roles in Ethiopia typically refer to security or safety positions.
Reader for YouTube channel analysis,,0,Data Analyst,Reading and analyzing YouTube channel data aligns with data analysis tasks.
Receipt print/delete section,,0,Cashier,Handling receipt printing and deletion is a cashier duty in retail.
Receiving orders by phone and telegram,,0,Customer Service Representative,Receiving orders via phone and Telegram is a customer service function.
Safaricom Sales Officer,,0,Sales Officer,"Safaricom Sales Officer is a specific sales role, but maps to general sales officer."
Sale of construction equipment,,0,Sales Representative,Selling construction equipment is a sales representative role.
Scallop micropigmentation specialist,,0,Cosmetologist,"Scallop micropigmentation is a cosmetic procedure, related to cosmetology."
Scooter riders with their own scooters,,0,Delivery Rider,Scooter riders with own scooters are typically delivery riders in Ethiopia.
"Send and control movies, music and games in the cinema",,0,Cinema Technician,"Controlling movies, music, and games in a cinema is a technician role."
Shawarma worker,,0,Food Service Worker,"Shawarma worker is a specific food preparation role, best mapped to the general food service category."
"Short Film Writing for YouTube, YouTube Show Ideas, Sitcom Drama Writing and Acting",,0,Content Creator,"This role involves writing, acting, and generating ideas for YouTube and sitcoms, aligning with content creation."
Skin wide,,0,General Worker,'Skin wide' is unclear but likely refers to a manual or general labor role.
Sound Man Assistant (Carrier),,0,Sound Technician Assistant,Assisting a sound man with carrying equipment fits the assistant sound technician role.
Supervising the safety of students,,0,School Safety Officer,Supervising student safety is a core duty of a school safety officer.
Survey,,0,Surveyor,"Survey work typically involves land or data surveying, mapped to the surveyor position."
Tapestry expert,,0,Weaving Specialist,"Tapestry expert is a specialized weaving role, best matched to weaving specialist."
Tele silver agent,,0,Telemarketer,Tele silver agent likely refers to a telemarketing or sales agent role.
Telebur agent registrar,,0,Registration Agent,"Telebur agent registrar involves registration duties, mapped to registration agent."
Telemarketer,,0,Telemarketer,Direct match to the standard telemarketer position.
Telephone call receiver,,0,Receptionist,Telephone call receiver is a common duty of a receptionist in Ethiopian offices.
Text for customers entering contract and evidence,,0,Data Entry Clerk,Entering customer contract and evidence text is typical data entry work.
"The main dessert maker is Bakla, Halau, Mushebek and Fatira maker",,0,Pastry Chef,"Bakla, Halau, Mushebek, and Fatira are Ethiopian pastries and desserts."
Vocal / for both genders /,,0,Singer,Vocal performer for both genders is a singer.
keyboardist,,0,Keyboardist,Keyboardist is already a standard term for a musician playing keyboard.
"aerobics, dance and pregnancy trainers",,0,Fitness Instructor,"Aerobics, dance, and pregnancy training are fitness instruction specialties."
Wet maker,,0,Brewer,Wet maker likely refers to traditional Ethiopian beverage (tella/areke) brewing.
Wife's results marketer,,0,Sales Agent,Wife's results marketer is a culturally phrased sales role for women's products.
Writer and Internet user,,0,Content Writer,Writing and internet use aligns with content creation and online research.
Almunium Worker,,0,Aluminum Fabricator,"Almunium Worker is a misspelling of aluminum worker, typically a fabricator."
Gypsum worker,,0,Plasterer,Gypsum worker is a specialized plasterer in Ethiopian construction context.
Biomedical Equipment maintenance,,0,Biomedical Equipment Technician,Standard title for maintenance of medical devices.
1. Call operator 2. Delivery coordinator,,0,Call Operator / Delivery Coordinator,Two distinct roles; kept as separate titles.
Water Proofing Workers,,0,Waterproofer,Common construction trade title for waterproofing work.
content creator,,0,Content Creator,Already standard in Ethiopian digital marketing.
Customer Service Support (CSS),,0,Customer Service Representative,CSS is a common abbreviation for this role.
Photoshoper,,0,Photo Editor,Photoshop is a tool; standard role is photo editor.
Senior Java Developer,,0,Senior Java Developer,Standard title in Ethiopian tech industry.
1) Social media manager and content creator,,0,Social Media Manager / Content Creator,Two roles combined; kept as listed.
2D promo video maker,,0,Motion Graphics Designer,2D promo video creation falls under motion graphics.
3D Architectural visualizer,,0,Architectural Visualizer,3D Architectural visualizer is a specialized role that directly maps to Architectural Visualizer in the Ethiopian context.
3D Artist and Blender for YouTube channel,,0,3D Artist,"3D Artist and Blender for YouTube channel focuses on 3D content creation, aligning with the general 3D Artist role."
3D Character Sculpting Artists,,0,3D Character Artist,"3D Character Sculpting Artists specialize in character modeling, which is a subset of 3D Character Artist."
3D courses,,0,3D Modeling Instructor,"3D courses implies teaching or training in 3D modeling, best mapped to a 3D Modeling Instructor."
3D creature sculpting,,0,3D Creature Artist,"3D creature sculpting is a specific skill within 3D art, closely related to 3D Creature Artist."
3D modeling and PS work,,0,3D Modeler,"3D modeling and PS work combines 3D modeling with Photoshop, fitting the 3D Modeler role."
3D product visualizer /3D product designer/,,0,3D Product Designer,3D product visualizer /3D product designer/ directly maps to 3D Product Designer.
3D Substance Painter,,0,3D Texture Artist,"3D Substance Painter is a tool for texturing, so the role is best mapped to 3D Texture Artist."
Front End and Back End Developers,,0,Full Stack Developer,Front End and Back End Developers together imply a Full Stack Developer role.
3rd Party Recovery Assistant,,0,Recovery Assistant,3rd Party Recovery Assistant is a specific role that maps to Recovery Assistant in the Ethiopian job market.
Lead and Deputy Team Leader/Technical,,0,Deputy Team Leader,Common Ethiopian project management role for senior technical oversight.
Abroad study Admission Processing,,0,Admissions Officer,Standard title for processing study admissions in Ethiopian education sector.
Accessibility Modification Construction Works,,0,Construction Supervisor,"Focuses on accessibility modifications in construction, common in Ethiopian infrastructure projects."
Access Manager,,0,Access Manager,Directly matches as a standard role in Ethiopian telecom or IT contexts.
Access to Finance and Private Sector Engagement Specialist for ELSIPB Project,,0,Private Sector Engagement Specialist,Aligns with Ethiopian development projects focusing on access to finance and private sector.
"Accountability, Complaint and Feedback officer",,0,Complaint and Feedback Officer,Standard humanitarian role in Ethiopian NGOs for accountability mechanisms.
Accountability (M & E officer),,0,Monitoring and Evaluation Officer,Common M&E role in Ethiopian development programs with accountability focus.
Accountability & Safeguarding Advisor - Highland Resilience Activity,,0,Safeguarding Advisor,Typical senior role in Ethiopian resilience projects emphasizing accountability and safeguarding.
Accountability to the Affected People (AAP) Specialist,,0,Accountability Specialist,Standard humanitarian title in Ethiopia for AAP roles.
Accountant for Transport Business Unit,,0,Accountant,Direct match for transport business unit accounting in Ethiopian context.
Accountant/IFRS Consultant,,0,Accountant,Core role is accounting with IFRS specialization.
Accountant II-IFB Finance & Accounts,,0,Accountant,Senior accountant role in Islamic finance and accounts.
Accountant Internship at LSSYA,,0,Accountant Intern,Internship position in accounting.
Accounting and Finance Expert Finance Software Dev't and Implementation Project,,0,Finance Expert,Focus on finance software development and implementation.
Accoustic band (Preferably English tunes),,0,Musician,Performance role for an acoustic band.
Acibadem a class health care service,,0,Healthcare Professional,Service role in a healthcare facility.
Addis Coder Teaching Assistant,,0,Teaching Assistant,Direct teaching assistant role for coding program.
"Administration and Finance Assistant /Afar region, Teru Woreda",,0,Administration and Finance Assistant,Combined admin and finance support role in a specific region.
Administrator at Terra LAB,,0,Administrator,General administrative role at a lab.
Admin Officer-IFDC Ethiopia,,0,Admin Officer,Administrative officer role at an organization.
Admission & Placement Head (Registrar Head),,0,Registrar,Directly matches the role of managing admissions and student records in Ethiopian universities.
Admission Process Consultant,,0,Admissions Advisor,Consulting on admission processes aligns with advising roles common in Ethiopian higher education.
adobe after effects expert,,0,Motion Graphics Designer,Adobe After Effects expertise is primarily used for motion graphics and animation in Ethiopian media.
Adobe Photoshop ባለሙያ,,0,Graphic Designer,Adobe Photoshop specialist is a standard graphic design role in Ethiopia.
Adobe premium and Adobe photoshop,,0,Graphic Designer,Proficiency in Adobe Premiere and Photoshop indicates a multimedia graphic design role.
Adolescent and Youth SRH Technical Advisor,,0,SRH Technical Advisor,Focus on adolescent and youth sexual and reproductive health aligns with SRH advisory roles in Ethiopian NGOs.
ADOLESCENT SEXUAL REPRODUCTIVE HEALTH AND NUTRITION TEAM LEADER,,0,SRH Program Manager,Leading adolescent SRH and nutrition programs corresponds to program management in Ethiopian health projects.
Adolescent Youth Health (AYH) Advisor,,0,Youth Health Advisor,Advisory role for adolescent youth health is common in Ethiopian health programs.
Advanced C++ and/python developer needed,,0,Software Developer,C++ and Python development skills map to general software development in Ethiopian tech.
Advanced Java (Software Engineering) Tutor,,0,Java Instructor,Tutoring advanced Java aligns with teaching roles in Ethiopian coding bootcamps or universities.
Advanced Personal English Instructor,,0,English Language Instructor,Commonly used title for teaching English in Ethiopia.
Advanced python developer,,0,Senior Python Developer,Standard term for experienced Python developers in the local market.
Advanced Telegram Bot Developer,,0,Telegram Bot Developer,Simplified title commonly used for bot development roles.
Advanced Wordpress programmer,,0,WordPress Developer,Standard title for WordPress programming roles in Ethiopia.
Advance Flutter Developer(IOS),,0,Flutter Developer (iOS),Standard title for Flutter developers with iOS focus.
Advertising arabian clothes and shoe,,0,Sales Representative (Apparel & Footwear),Common local title for selling Arabian clothing and shoes.
Advertising workshop supervisor,,0,Workshop Supervisor,Standard title for supervising advertising workshops in Ethiopia.
"Advisor, Digital Governance and Innovation",,0,Digital Governance Advisor,Standard title for advisory roles in digital governance and innovation.
Advisor (Energizing Health),,0,Health Advisor,Simplified title for health-related advisory positions.
"Advisor, Make way project",,0,Project Advisor,Common title for advisory roles on specific projects like Make Way.
Advisor to the Head of Sub Delegation,,0,Senior Advisor,"Advising the head of a sub-delegation is a senior advisory role, common in Ethiopian NGOs or government."
"Aesthetics (HPE, Art, Music) Teaacher",,0,Teacher,"Teaching aesthetics subjects like HPE, Art, and Music in Ethiopian schools is a standard teacher role."
Afaan Oromo/Amharic to English translator,,0,Translator,Translating between Afaan Oromo/Amharic and English is a common translator job in Ethiopia.
"Afaan Oromo, Environmental Science, ICT, Economics, English Teachers and School Guidance and Counselor",,0,Teacher,Teaching multiple subjects and counseling in Ethiopian schools is a teacher role.
Afaan Oromoo Software Translator & Test Engineer,,0,Software Translator & Test Engineer,Combining translation and testing for Afaan Oromoo software is a specialized tech role in Ethiopia.
ከአማርኛ ወደ Afaan Oromoo Translation,,0,Translator,Translation from Amharic to Afaan Oromoo is a standard translator job in Ethiopia.
Afaan Oromo script/story writer,,0,Content Writer,Writing scripts/stories in Afaan Oromo is a content writing role in Ethiopian media.
Afaan Oromo speaker video editor,,0,Video Editor,Editing videos for Afaan Oromo speakers is a video editing role in Ethiopian media.
Afaan oromo speaking audio and video editor,,0,Audio and Video Editor,Editing audio and video for Afaan Oromo speakers is a media editing role in Ethiopia.
Afaan Oromo to English Translator,,0,Translator,Translating from Afaan Oromo to English is a common translator job in Ethiopia.
Afan Oromo and Tigrigna Translator,,0,Translator,Translator is the standard term for someone who translates between languages.
Afan Oromo Phone Call Customer Support,,0,Customer Support Representative,Phone-based customer support in a specific language is a standard customer support role.
Afan Oromo Transcriber,,0,Transcriber,Transcriber is the direct standard title for converting audio to text.
Afan Oromo Typist / Secretary,,0,Secretary,Typist/Secretary is a standard clerical role involving typing and administrative tasks.
"Afar, Somali, and Oromo to English video translation.",,0,Video Translator,Video translation is a standard specialization within translation services.
Afar translator & Proofreader,,0,Translator and Proofreader,Combining translation with proofreading is a common dual role.
Affan Oromo Speaking Skilled Course Instructors,,0,Course Instructor,"Instructor is the standard term for someone who teaches a course, regardless of language."
African Union CAADP Program Coordinator for the Post Malabo Process,,0,Program Coordinator,Program Coordinator is the standard title for managing a specific program or process.
Af Somali translator,,0,Translator,Translator is the standard term for someone who translates from a specific language.
AfterEffects Animator,,0,Animator,"Animator is the standard title for creating animations, with AfterEffects being a common tool."
Agent Relationship Manager (ARM),,0,Relationship Manager,ARM is a common banking role focused on managing client relationships.
Agribusiness Cluster Development Consultant-Young Professional,,0,Agribusiness Consultant,Focuses on agribusiness cluster development and consulting for young professionals.
Agricultura and Market System Development Coordinator,,0,Agricultural Development Coordinator,Coordinates agricultural and market system development activities.
Agricultural Inputs Registration and Marketing Sales Head,,0,Sales Manager,Heads sales and marketing for agricultural inputs registration.
Agriculture Business Proposal Writer needed,,0,Proposal Writer,Specializes in writing business proposals for agriculture.
Agriculture Report Translator,,0,Translator,Translates agriculture reports between languages.
AIR TICKET AGRENT,,0,Travel Agent,Handles air ticket bookings and related travel services.
Air ticketing and creative Graphics Designer,,0,Graphic Designer,Combines air ticketing with creative graphic design work.
Airtime distribution agents,,0,Sales Agent,Distributes airtime as a sales agent.
Alternate Channel Administrator ATM/POS,,0,ATM/POS Administrator,Administers alternate channel operations including ATMs and POS terminals.
Alternate Channels Engineer-Online,,0,Online Channel Engineer,Standardized title for an engineer managing online channels.
Aluminium foil supply.,,0,Aluminum Foil Supply Coordinator,Clarifies the role as coordinating supply of aluminum foil.
Aluminium Foreman,,0,Aluminum Foreman,Directly maps to a standard supervisory role in aluminum work.
Aluminium Technicians and Glass Worker,,0,Aluminum Technician and Glass Worker,Standardized title combining both technical and craft roles.
Aluminum Profile Prep and Machinery Technicians,,0,Aluminum Profile Preparation and Machinery Technician,Standardized title for technicians handling aluminum profiles and machinery.
የአልሙኒየም ስራ አሰልጣኝ (Aluminum work trainer),,0,Aluminum Work Trainer,Direct translation and standardization of the Amharic title.
AmateurJazz band (Amateur jazz playing team),,0,Amateur Jazz Band Musician,Standardized description for a member of an amateur jazz band.
Amateur (junior) Reggae band,,0,Junior Reggae Band Musician,Standardized title for a junior reggae band member.
"Amateur vocalist,lyrics and melody writer",,0,Amateur Vocalist and Songwriter,Standardized title combining vocalist and lyric/melody writing.
American accent trainer,,0,American Accent Trainer,Direct mapping to a standard language coaching role.
Amhargna . Biology and English teachers,,0,Teacher,"Amhargna likely refers to Amharic teacher; combined with Biology and English teachers, the closest standard role is Teacher."
Amharic and English Content Reviewer,,0,Content Reviewer,Focus on reviewing content in Amharic and English aligns with Content Reviewer.
Amharic and English Dental Health Article Writer,,0,Medical Writer,Writing dental health articles in two languages fits Medical Writer.
Amharic and English journalist,,0,Journalist,Directly matches the role of a journalist working in Amharic and English.
Amharic and English Secretary,,0,Secretary,Secretary role with bilingual requirements.
Amharic and English Voice over Artist,,0,Voice Over Artist,Directly matches the role of a voice over artist in two languages.
Amharic and ethics teacher,,0,Teacher,Teaching Amharic and ethics corresponds to a Teacher role.
Amharic audio to Amharic doc transcription,,0,Transcriber,Transcribing audio to text is the core function of a Transcriber.
"Amharic, Biology, Social Studies Teachers for Elementary School",,0,Elementary School Teacher,Teaching multiple subjects at elementary level fits Elementary School Teacher.
"Amharic, English, Afan Oromo, Math, Geography, History, Art , HPE, KG Teachers",,0,Teacher,"Teaching a wide range of subjects including languages, math, and KG indicates a general Teacher role."
Amharic interview editor,,0,Video Editor,"Interview editing is a core function of video editing, common in Ethiopian media."
Amharic narrator,,0,Voice Actor,"Narrating in Amharic is a voice acting role, often for audiobooks or media."
Amharic Software Translator & Test Engineer,,0,Software Localization Engineer,"Combines translation and testing for software, fitting Ethiopian tech localization needs."
Amharic Teacher (2) and English Teachers for KG (3),,0,Teacher,Directly teaches Amharic and English at kindergarten level in Ethiopia.
Amharic Teacher for High School and Preparatory,,0,High School Teacher,Teaches Amharic at high school and preparatory levels in Ethiopia.
amharic to afar language translater,,0,Translator,"Translates between Amharic and Afar, a common language pair in Ethiopia."
Amharic to English translation for poetry and literature content,,0,Literary Translator,"Specializes in translating poetry and literature, relevant for Ethiopian cultural content."
Amharic to geez translator,,0,Translator,"Translates between Amharic and Ge'ez, important for Ethiopian religious and historical texts."
Amharic to Hebrew translator,,0,Translator,"Translates between Amharic and Hebrew, serving Ethiopian-Israeli communities."
Amharic to Somali translator,,0,Translator,"Translates between Amharic and Somali, a key language pair in the Horn of Africa."
Amharic video script writer for youtube,,0,Content Writer,"Focuses on writing scripts for YouTube videos in Amharic, which aligns with content writing."
An article reviewer,,0,Editor,Reviewing articles is a core editorial task.
Andriod and iso application developer,,0,Mobile Application Developer,Develops apps for both Android and iOS platforms.
Android application developer for existing WordPress website,,0,Android Developer,Specializes in Android app development for a WordPress site.
Android app Programer,,0,Android Developer,Programs Android applications.
Android Developer with Kotlin and Jetpack Compose,,0,Android Developer,Uses Kotlin and Jetpack Compose for Android development.
Android google maps developer,,0,Android Developer,Focuses on integrating Google Maps into Android apps.
Android Keyboard app creator,,0,Android Developer,Creates a keyboard app for the Android platform.
Android Kotlin developer,,0,Android Developer,Develops Android apps using Kotlin.
Android & PHP Developer,,0,Full Stack Developer,Works with both Android (frontend) and PHP (backend) technologies.
Android Reverse Engineer,,0,Mobile Application Security Engineer,"Android Reverse Engineer focuses on analyzing and securing Android apps, closely related to mobile security roles."
An experienced ISO 9001:2015 Consultant,,0,Quality Management Consultant,"ISO 9001:2015 consulting is a quality management specialization, commonly mapped to this broader title in Ethiopia."
Angular 11 and Express JS developer,,0,Full Stack Developer,Angular 11 (frontend) and Express JS (backend) skills indicate full stack development capabilities.
Angular and Flutter developer,,0,Mobile and Web Developer,"Angular (web) and Flutter (mobile) skills cover both platforms, fitting this combined role."
Angular Developer with Ngrx State Management,,0,Angular Developer,"Ngrx is a state management library for Angular, so the core role remains Angular Developer."
Angular JS and Express Js Developer,,0,Full Stack Developer,Angular JS (frontend) and Express JS (backend) skills indicate full stack development.
Angular JX Developer + NGRX,,0,Angular Developer,"NGRX is an Angular state management tool, so the primary role is Angular Developer."
Angular + Loopback 4 developer,,0,Full Stack Developer,Angular (frontend) and Loopback 4 (backend Node.js framework) skills indicate full stack development.
Angular/React and Java developer,,0,Full Stack Developer,Angular/React (frontend) and Java (backend) skills indicate full stack development.
Angular / react trainer,,0,Frontend Trainer,"Angular/React are frontend frameworks, so training in these is best mapped to Frontend Trainer."
Animated explainer video creator,,0,Motion Graphics Designer,Animated explainer video creation is a core function of motion graphics design.
Animated Infomercial Video Explaining PreWedding Financial Planning,,0,Video Editor / Animator,Creating an animated infomercial involves video editing and animation skills.
Annual vehicle inspection Computer professional,,0,Vehicle Inspection Technician,"Annual vehicle inspection is typically performed by a technician, even if computer literate."
ANSYS Fluent software design,,0,CFD Engineer,ANSYS Fluent is a computational fluid dynamics software used by CFD engineers.
Antimicrobial Stewardship/Resistance Advisor,,0,Public Health Advisor,"Antimicrobial stewardship is a public health function, advising on proper antibiotic use."
Anuak/Anyuak/Anywa to English translator,,0,Translator,Translating between Anuak/Anyuak/Anywa and English is a translation role.
Anuual report / infographics designer,,0,Graphic Designer,Designing annual reports and infographics is a graphic design task.
Anyone who can work with WaterCad and epanet software,,0,Water Utility Engineer,WaterCad and EPANET are water distribution modeling software used by water engineers.
Anyone with a digital version dictionary,,0,Lexicographer / Data Entry Clerk,Working with a digital dictionary involves lexicography or data entry tasks.
Ruby on Rails profession,,0,Ruby on Rails Developer,Ruby on Rails is a web development framework; the role is a developer.
a person that receive voice and SMS messages.,,0,Customer Service Representative,"Handles incoming voice and SMS communications, typical of customer support roles."
A person who will make and sell Cotton candy,,0,Confectionery Maker,"Makes and sells cotton candy, a type of confectionery."
Apiculture Development Officer,,0,Beekeeping Officer,Apiculture is the scientific term for beekeeping.
Api integration experts,,0,API Integration Specialist,"Expert in integrating APIs, a common IT role."
"የሞባይል አፕልኬሽን ልክ እንደ "" ፈረስ "" APP",,0,Mobile Application Developer,"Develops mobile apps, as indicated by the Amharic text referencing a 'horse' app."
Apparentship logo designer,,0,Logo Designer,"Designs logos, likely as an apprentice or intern."
Apple Developer Account,,0,iOS Developer,"Manages Apple Developer accounts, typically for iOS app development."
Apple developer account creator,,0,iOS Developer,"Creates Apple Developer accounts, a task for iOS developers."
Application Developer with GIS and Taxi App Experience,,0,Full Stack Developer,"Develops applications with GIS and taxi app experience, indicating full stack skills."
Application Development Instructor in Java,,0,Java Instructor,Teaches application development using Java.
Applied chemistry ( industrial chemistry) and environmental health,,0,Environmental Health Officer,"Combines industrial chemistry and environmental health, aligning with environmental health roles in Ethiopia."
Applied Mathematics Project solution checker,,0,Mathematics Tutor,"Involves checking solutions for applied mathematics projects, similar to tutoring or grading roles."
App logo maker,,0,Graphic Designer,"Creating app logos falls under graphic design, a common role in Ethiopia's digital sector."
App Promotional Video Creator,,0,Video Editor,"Creating promotional videos is a core video editing task, relevant in Ethiopian marketing."
